43|66
84|81
84|11
91|77
91|67
91|11
88|11
88|69
88|99
88|37
16|63
16|28
16|19
16|91
16|33
71|64
71|91
71|77
71|26
71|15
71|66
64|32
64|89
64|18
64|75
64|34
64|11
64|33
32|45
32|21
32|99
32|89
32|94
32|17
32|26
32|84
17|12
17|43
17|53
17|46
17|36
17|13
17|24
17|91
17|75
34|94
34|68
34|41
34|23
34|89
34|33
34|17
34|18
34|97
34|87
89|74
89|46
89|85
89|69
89|71
89|99
89|26
89|97
89|22
89|15
89|68
39|12
39|23
39|88
39|19
39|66
39|16
39|75
39|89
39|62
39|41
39|91
39|28
36|62
36|24
36|13
36|26
36|16
36|34
36|39
36|15
36|43
36|35
36|75
36|85
36|71
94|17
94|64
94|15
94|43
94|72
94|91
94|13
94|24
94|74
94|36
94|35
94|49
94|71
94|53
85|53
85|77
85|91
85|64
85|26
85|49
85|66
85|13
85|67
85|88
85|46
85|63
85|34
85|62
85|23
41|99
41|69
41|68
41|81
41|13
41|35
41|15
41|22
41|94
41|37
41|74
41|32
41|11
41|36
41|89
41|85
33|36
33|97
33|41
33|81
33|32
33|89
33|94
33|69
33|45
33|71
33|19
33|15
33|99
33|11
33|18
33|17
33|24
72|91
72|21
72|53
72|77
72|28
72|71
72|26
72|46
72|13
72|16
72|75
72|39
72|49
72|34
72|62
72|12
72|66
72|67
24|66
24|85
24|23
24|62
24|28
24|67
24|71
24|64
24|15
24|16
24|91
24|21
24|46
24|88
24|12
24|49
24|72
24|13
24|39
12|67
12|66
12|84
12|18
12|28
12|89
12|63
12|32
12|33
12|34
12|41
12|49
12|75
12|87
12|77
12|91
12|43
12|88
12|53
12|64
18|24
18|72
18|11
18|22
18|74
18|94
18|36
18|41
18|17
18|89
18|32
18|84
18|13
18|71
18|69
18|45
18|35
18|68
18|97
18|81
18|85
22|64
22|62
22|74
22|99
22|12
22|24
22|49
22|39
22|17
22|46
22|35
22|37
22|36
22|71
22|16
22|26
22|97
22|15
22|81
22|21
22|72
22|13
26|63
26|23
26|91
26|62
26|77
26|41
26|46
26|75
26|43
26|28
26|53
26|19
26|33
26|66
26|67
26|18
26|49
26|88
26|34
26|12
26|64
26|87
26|39
62|28
62|68
62|63
62|23
62|18
62|32
62|33
62|69
62|16
62|91
62|88
62|64
62|19
62|84
62|43
62|66
62|41
62|53
62|34
62|67
62|75
62|77
62|87
62|89
11|81
11|17
11|37
11|16
11|74
11|39
11|72
11|85
11|24
11|35
11|36
11|22
11|62
11|13
11|94
11|97
11|49
11|99
11|26
11|21
11|12
11|71
11|46
11|15
13|67
13|28
13|66
13|87
13|75
13|77
13|53
13|39
13|88
13|91
13|26
13|19
13|46
13|62
13|63
13|64
13|21
13|12
13|34
13|16
13|33
13|49
13|23
13|43
81|72
81|17
81|49
81|46
81|13
81|21
81|43
81|26
81|15
81|85
81|91
81|24
81|94
81|99
81|16
81|74
81|12
81|62
81|36
81|75
81|64
81|71
81|39
81|35
19|11
19|15
19|36
19|37
19|89
19|99
19|84
19|24
19|17
19|41
19|85
19|71
19|32
19|18
19|74
19|22
19|94
19|69
19|35
19|45
